=== BTC vendor destinations (valued at live rate on tx day) ===
destinations: 141, total sent: 7.39541203 BTC = $624,220.92
price source: Binance BTCUSDT daily open (UTC), live rate at tx day; unpriced transfers: 0

rank address                                              amount              USD   txs  period
  25 ltc1q3ca8vdlttysmhrfcupjw7h4mp30462qumaq94n        32.05999727         3,540.39     1  2024-12-10 .. 2024-12-10
  26 ltc1q8zyps9wa4jyhtxe47s3af3pzqsv3kgzqlhz2w8        46.20974117         3,538.74     1  2024-11-11 .. 2024-11-11
  27 ltc1qvck8tg9fdlsnmnthj32fv25smn8tj4a5mxw3hy        29.55011368         3,519.71     1  2025-01-22 .. 2025-01-22
  28 ltc1qwnq7nyd65hh5e4jlm78z84qwaxvjfgf7y0nhve        34.70871382         3,518.42     1  2024-12-21 .. 2024-12-21
  29 ltc1qx9d4em0e23spcmp6372f8get0006xjhf35j58s        35.33776734         3,376.17     1  2024-11-29 .. 2024-11-29
  30 ltc1que6q67wl7pgew4j9ycm7hf2lrqjyke6exgvv40        33.92596288         3,372.24     1  2024-12-31 .. 2024-12-31
  31 ltc1qsvj2hfenhhkfshagny2az4xxkf426ylytw7jjf        32.81122149         3,361.51     1  2025-01-15 .. 2025-01-15
  32 MFQfcrEkMBSTupNSE5KKXwQtAaCBd7BnVB              30.00000000         3,336.60     1  2025-01-05 .. 2025-01-05
  33 ltc1qxsn8dn6al07evlhkjjk0y6yud0xj2w27fuyt42        50.73516449         3,327.72     1  2024-10-12 .. 2024-10-12
  34 MGtPPhuPEDSAYTvGxo2Hjevyepk2x28D8b              51.39544504         3,319.63     1  2024-10-10 .. 2024-10-10
  35 ltc1q96ltw3x2wacuaumky6ahksvg5kh9e4d938kerw        30.00859896         3,295.54     1  2024-12-26 .. 2024-12-26
  36 ltc1qs79s04evzxgjzj52q4r3w79sy2seqhgtgzfy43        39.07242102         3,218.40     1  2024-11-15 .. 2024-11-15
  37 MFfN7ekRizPuVPPp5bmpXBJ5Ww4afDwGSS              48.17633876         3,188.79     1  2024-10-13 .. 2024-10-13
  38 MAHUWU98iSqGEGA9zb6zA49Y621uhKbEAy              43.77913637         3,186.68     1  2024-10-18 .. 2024-10-18
  39 ltc1q335gvlrtxvhk2etwhpyn67lnks3racz83fuudc        30.61808653         3,144.78     1  2025-01-08 .. 2025-01-08
  40 ltc1q34x7yzcemxw4t44wxutzp23fnfx6zukzqf83ur        23.90729829         3,129.47     1  2024-12-04 .. 2024-12-04
